metric,method_A,method_B,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(A-B),median_diff(A-B)
mcc,60%,OVAL,81,78,66.0,6.826449798080312e-14,approx(pratt),1.7066124495200779e-12,78,75,5.238237034277805e-19,1.3619416289122293e-17,0.4977941958575539,0.4977941958575539
mcc,60%,PLANKSTER,81,80,1582.0,0.7151914322551536,approx(pratt),1.0,80,43,0.5764306261883931,1.0,0.010970362028018266,0.010970362028018266
mcc,60%,PORED2,81,76,43.0,3.4787015368460265e-14,approx(pratt),1.0088234456853477e-12,76,72,3.589836803538052e-17,8.615608328491325e-16,0.287874396106346,0.287874396106346
mcc,60%,SAMJ,81,77,63.0,6.569118157870719e-14,approx(pratt),1.707970721046387e-12,77,71,3.418320890290292e-15,6.152977602522525e-14,0.38517952417730805,0.38517952417730805
mcc,60%,SEMI,81,77,822.0,8.76988696532294e-05,approx(pratt),0.0012277841751452115,77,21,8.215921903007378e-05,0.001150229066421033,-0.02701415400324393,-0.02701415400324393
mcc,60%,UNET,81,80,1362.0,0.16129856558631284,approx(pratt),1.0,80,46,0.21851803947870374,1.0,0.029480295505400267,0.029480295505400267
mcc,FREEHAND,ILASTIK,81,78,11.0,9.179755132210608e-15,approx(pratt),3.212914296273713e-13,78,2,2.039496518310745e-20,5.914539903101161e-19,-0.49404569193547726,-0.49404569193547726
mcc,FREEHAND,OTSU,81,80,21.0,1.2141940284987362e-14,approx(pratt),3.764001488346082e-13,80,79,1.3400325923359048e-22,5.6281368878108e-21,0.33862283541188043,0.33862283541188043
mcc,FREEHAND,OVAL,81,61,1480.0,0.7218680408061726,approx(pratt),1.0,61,32,0.7981526273057179,1.0,0.0,0.0
mcc,FREEHAND,PLANKSTER,81,80,14.0,9.37208058055161e-15,approx(pratt),3.0927865915820316e-13,80,1,1.3400325923359048e-22,5.49413362857721e-21,-0.4913395532117078,-0.4913395532117078
mcc,FREEHAND,PORED2,81,73,454.0,2.1859312107953427e-08,approx(pratt),3.4974899372725483e-07,73,15,4.0931991166650604e-07,6.139798674997591e-06,-0.1785514935841684,-0.1785514935841684
mcc,FREEHAND,SAMJ,81,63,896.0,0.0013117205361284894,approx(pratt),0.015740646433541873,63,20,0.005152397042092064,0.061828764505104765,-0.012706193165893415,-0.012706193165893415
mcc,FREEHAND,SEMI,81,77,6.0,8.190263470941565e-15,approx(pratt),2.9484948495389633e-13,77,1,1.0323214044661785e-21,3.613124915631625e-20,-0.5012331852076904,-0.5012331852076904
mcc,FREEHAND,UNET,81,80,5.0,6.707676617235387e-15,approx(pratt),2.683070646894155e-13,80,2,5.3617847305687254e-21,1.7157711137819921e-19,-0.4557710208438957,-0.4557710208438957
mcc,ILASTIK,OTSU,81,81,1.0,5.671876047777079e-15,approx(pratt),2.4956254610219147e-13,81,80,6.782881022934827e-23,2.984467650091324e-21,0.8291439865042466,0.8291439865042466
mcc,ILASTIK,OVAL,81,79,83.0,1.1890242669438554e-13,approx(pratt),2.615853387276482e-12,79,75,5.2434681244715905e-18,1.3108670311178976e-16,0.4892487260613121,0.4892487260613121
mcc,ILASTIK,PLANKSTER,81,81,1634.0,0.9025701153486566,approx(pratt),0.9025701153486566,81,46,0.2664123096713203,1.0,0.01930600686700762,0.01930600686700762
mcc,ILASTIK,PORED2,81,81,168.0,2.1444159857210366e-12,approx(pratt),3.8599487742978656e-11,81,75,2.91096598559025e-16,5.8219319711805e-15,0.2581988897471611,0.2581988897471611
